Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
ACTG,Acacia Research Corporation,4.2,$212.54M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,
ACHC,"Acadia Healthcare Company, Inc.",32.45,$2.85B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,30.7,$3.81B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,
ACST,"Acasti Pharma, Inc.",0.97,$14.47M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,
AXDX,"Accelerate Diagnostics, Inc.",27.6,$1.53B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,
XLRN,Acceleron Pharma Inc.,43.15,$1.95B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,
ANCX,Access National Corporation,27.7,$566.54M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,
ARAY,Accuray Incorporated,4.45,$373.44M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,
ACRX,"AcelRx Pharmaceuticals, Inc.",2,$100.68M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,
ACER,Acer Therapeutics Inc.,14.0805,$103.74M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acer,
ACERW,Acer Therapeutics Inc.,0.0158,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acerw,
ACET,Aceto Corporation,10.29,$315.3M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,
AKAO,"Achaogen, Inc.",11.22,$475.66M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,
ACHV,"Achieve Life Sciences, Inc. ",1.35,$16.13M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv,
ACHN,"Achillion Pharmaceuticals, Inc.",2.98,$410.82M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,
ACIW,"ACI Worldwide, Inc.",22.39,$2.65B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,
ACRS,"Aclaris Therapeutics, Inc.",23.89,$736.64M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,
ACMR,"ACM Research, Inc.",4.92,$75.5M,2017,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acmr,
ACNB,ACNB Corporation,30.1,$211.29M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,
ACOR,"Acorda Therapeutics, Inc.",22.4,$1.05B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,
SQZZ,Active Alts Contrarian ETF,25.31,$632800.62,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz,
ATVI,"Activision Blizzard, Inc",63.34,$47.89B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,
ACTA,Actua Corporation,15.5,$507.2M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,
ACXM,Acxiom Corporation,27.37,$2.17B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,
ADMS,"Adamas Pharmaceuticals, Inc.",33.98,$774.03M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,
ADMP,Adamis Pharmaceuticals Corporation,4.25,$141.89M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,
ADAP,Adaptimmune Therapeutics plc,6.8,$637.07M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,
ADUS,Addus HomeCare Corporation,34.4,$400.13M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,
AEY,"ADDvantage Technologies Group, Inc.",1.4444,$14.77M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,
IOTS,Adesto Technologies Corporation,6.375,$134.76M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,
ADMA,ADMA Biologics Inc,3.14,$142.29M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,
ADBE,Adobe Systems Incorporated,175.36,$86.15B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,
ADOM,"ADOMANI, Inc.",4.36,$296.79M,2017,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adom,
ADTN,"ADTRAN, Inc.",22.35,$1.08B,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,
ADRO,"Aduro Biotech, Inc.",7.6,$590.75M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro,
AAAP,Advanced Accelerator Applications S.A.,81.61,$3.6B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,
ADES,"Advanced Emissions Solutions, Inc.",9.8,$206.68M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades,
AEIS,"Advanced Energy Industries, Inc.",68.94,$2.73B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,
AMD,"Advanced Micro Devices, Inc.",10.53,$10.16B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,
ADXS,"Advaxis, Inc.",2.82,$116.48M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,
ADXSW,"Advaxis, Inc.",0.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,
ADVM,"Adverum Biotechnologies, Inc.",3.55,$159.9M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm,
ACT,AdvisorShares Vice ETF,25.69,$7.71M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/act,
AEGN,Aegion Corp,25.57,$831.71M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,
AGLE,"Aeglea BioTherapeutics, Inc.",5.51,$91.71M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle,
AEHR,Aehr Test Systems,2.72,$58.59M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,
AMTX,"Aemetis, Inc",0.55,$10.9M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx,
AERI,"Aerie Pharmaceuticals, Inc.",61.55,$2.26B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,
AVAV,"AeroVironment, Inc.",56.94,$1.36B,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,
